APS,bairro
1.0,BENFICA
1.0,CAJU
1.0,CATUMBI
1.0,CENTRO
1.0,CIDADE NOVA
1.0,ESTACIO
1.0,GAMBOA
1.0,MANGUEIRA
1.0,PAQUETA
1.0,RIO COMPRIDO
1.0,SANTA TERESA
1.0,SANTO CRISTO
1.0,SAO CRISTOVAO
1.0,SAUDE
1.0,VASCO DA GAMA
1.0,VASCO
2.1,BOTAFOGO
2.1,CATETE
2.1,COPACABANA
2.1,COSME VELHO
2.1,FLAMENGO
2.1,GAVEA
2.1,GLORIA
2.1,HUMAITA
2.1,IPANEMA
2.1,JARDIM BOTANICO
2.1,LAGOA
2.1,LARANJEIRAS
2.1,LEBLON
2.1,LEME
2.1,ROCINHA
2.1,SAO CONRADO
2.1,URCA
2.1,VIDIGAL
2.2,ALTO DA BOA VISTA
2.2,ANDARAI
2.2,GRAJAU
2.2,MARACANA
2.2,PRACA DA BANDEIRA
2.2,PRAÇA DA BANDEIRA
2.2,TIJUCA
2.2,TIJ
2.2,VILA ISABEL
3.1,BONSUCESSO
3.1,BRAS DE PINA
3.1,BRAZ DE PINA
3.1,COMPLEXO DO ALEMAO
3.1,CORDOVIL
3.1,ILHA DO GOVERNADOR
3.1,JARDIM AMERICA
3.1,MANGUINHOS
3.1,MARE
3.1,COMPLEXO DA MARE
3.1,OLARIA
3.1,PARADA DE LUCAS
3.1,PENHA CIRCULAR
3.1,PENHA
3.1,RAMOS
3.1,VIGARIO GERAL
3.1,BANCARIOS
3.1,CACUIA
3.1,COCOTA
3.1,FREGUESIAILHA
3.1,GALEAO
3.1,CIDADE UNIVERSITARIA
3.1,GUARABU
3.1,JARDIM CARIOCA
3.1,JARDIM GUANABARA
3.1,MONERO
3.1,PITANGUEIRAS
3.1,PORTUGUESA
3.1,PRAIA DA BANDEIRA
3.1,RIBEIRA
3.1,TAUA
3.1,TUBIACANGA
3.1,VILLAGE
3.1,ZUMBI
3.2,ABOLICAO
3.2,AGUA SANTA
3.2,CACHAMBI
3.2,DEL CASTILHO
3.2,ENCANTADO
3.2,ENGENHO DA RAINHA
3.2,ENGENHO DE DENTRO
3.2,ENGENHO NOVO
3.2,HIGIENOPOLIS
3.2,INHAUMA
3.2,JACARE
3.2,JACAREZINHO
3.2,LINS DE VASCONCELOS
3.2,MARIA DA GRACA
3.2,MEIER
3.2,PIEDADE
3.2,PILARES
3.2,RIACHUELO
3.2,ROCHA
3.2,SAMPAIO
3.2,SAO FRANCISCO XAVIER
3.2,TODOS OS SANTOS
3.2,TOMAS COELHO
3.3,ACARI
3.3,ANCHIETA
3.3,BARROS FILHO
3.3,BENTO RIBEIRO
3.3,CAMPINHO
3.3,CASCADURA
3.3,CAVALCANTI
3.3,CAVALCANTE
3.3,COELHO NETO
3.3,COLEGIO
3.3,COSTA BARROS
3.3,ENGENHEIRO LEAL
3.3,GUADALUPE
3.3,HONORIO GURGEL
3.3,HON\xd3RIO GURGEL
3.3,IRAJA
3.3,MADUREIRA
3.3,MARECHAL HERMES
3.3,MAL HERMES
3.3,OSWALDO CRUZ
3.3,PARQUE ANCHIETA
3.3,PARQUE COLUMBIA
3.3,PAVUNA
3.3,QUINTINO BOCAIUVA
3.3,QUINTINO
3.3,RICARDO DE ALBUQUERQUE
3.3,RICARDO ALBUQUERQUE
3.3,ROCHA MIRANDA
3.3,TURIACU
3.3,VAZ LOBO
3.3,VICENTE DE CARVALHO
3.3,VILA DA PENHA
3.3,VILA KOSMOS
3.3,VISTA ALEGRE
4.0,BARRA DA TIJUCA
4.0,CAMORIM
4.0,CIDADE DE DEUS
4.0,GRUMARI
4.0,ITANHANGA
4.0,JACAREPAGUA
4.0,JOA
4.0,RECREIO
4.0,RCREIO
4.0,RECREIO DOS BANDEIRANTES
4.0,VARGEM GRANDE
4.0,VARGEM PEQUENA
4.0,ANIL
4.0,COLONIA
4.0,CURICICA
4.0,FREGUESIAJPA
4.0,GARDENIA AZUL
4.0,PECHINCHA
4.0,PRACA SECA
4.0,RIO DAS PEDRAS
4.0,RIO GRANDE
4.0,TANQUE
4.0,TAQUARA
4.0,VILA VALQUEIRE
5.1,BANGU
5.1,BANGUI
5.1,CAMPO DOS AFONSOS
5.1,DEODORO
5.1,JARDIM SULAC
5.1,MAGALHAES BASTOS
5.1,PADRE MIGUEL
5.1,REALENGO
5.1,SENADOR CAMARA
5.1,VILA MILITAR
5.2,BARRA DE GUARATIBA
5.2,CAMPO GRANDE
5.2,CAMPO GRANDE1'
5.2,CAMPO GRANDE1
5.2,COSMOS
5.2,KOSMOS
5.2,GUARATIBA
5.2,INHOAIBA
5.2,SANTISSIMO
5.2,SENADOR VASCONCELOS
5.2,PEDRA DE GUARATIBA
5.3,PACIENCIA
5.3,SANTA CRUZ
5.3,SEPETIBA
5.3,PALMARES
5.3,JARDIM PALMARES
