Cólera devida a Vibrio cholerae 01,A000
Cólera devida a Vibrio cholerae 01,A001
Cólera não especificada,A009
Febre tifóide,A010
Febre paratifóide A,A011
Febre paratifóide B,A012
Febre paratifóide C,A013
Febre paratifóide não especificada,A014
Enterite por salmonela,A020
Septicemia por salmonela,A021
Infecções localizadas por salmonela,A022
Outras infecções especificadas por salmonela,A028
Infecção não especificada por salmonela,A029
Shiguelose devida a Shigella dysenteriae,A030
Shiguelose devida a Shigella flexneri,A031
Shiguelose devida a Shigella boydii,A032
Shiguelose devida a Shigella sonnei,A033
Outras shigueloses,A038
Shiguelose não especificada,A039
Infecção por Escherichia coli enteropatogênica,A040
Infecção por Escherichia coli enterotoxigênica,A041
Infecção por Escherichia coli enteroinvasiva,A042
Infecção por Escherichia coli enterohemorrágica,A043
Outras infecções intestinais por Escherichia coli,A044
Enterite por Campylobacter,A045
Enterite devida a Yersinia enterocolítica,A046
Enterocolite devida a Clostridium difficile,A047
Outras infecções bacterianas intestinais especificadas,A048
Infecção intestinal bacteriana não especificada,A049
Intoxicação alimentar estafilocócica,A050
Botulismo,A051
Intoxicação alimentar devida a Clostridium perfringens [Clostridium welchii],A052
Intoxicação alimentar devida a Vibrio parahemolyticus,A053
Intoxicação alimentar devida a Bacillus cereus,A054
Outras intoxicações alimentares bacterianas especificadas,A058
Intoxicação alimentar bacteriana não especificada,A059
Disenteria amebiana aguda,A060
Amebíase intestinal crônica,A061
Colite amebiana não-disentérica,A062
Ameboma intestinal,A063
Abscesso amebiano do fígado,A064
Abscesso amebiano do pulmão,A065
Abscesso amebiano do cérebro,A066
Amebíase cutânea,A067
Infecção amebiana de outras localizações,A068
Amebíase não especificada,A069
Balantidíase,A070
Giardíase [lamblíase],A071
Criptosporidiose,A072
Isosporíase,A073
Outras doenças intestinais especificadas por protozoários,A078
Doença intestinal não especificada por protozoários,A079
Enterite por rotavírus,A080
Gastroenteropatia aguda pelo agente de Norwalk,A081
Enterite por adenovírus,A082
Outras enterites virais,A083
Infecção intestinal devida a vírus não especificado,A084
Outras infecções intestinais especificadas,A085
Diarréia e gastroenterite de origem infecciosa presumível,A09
Tuberculose pulmonar,A150
Tuberculose pulmonar,A151
