UF,Nome_UF,Mesorregião Geográfica,Nome_Mesorregião,Microrregião Geográfica,Nome_Microrregião,Município,Cod Municipio Completo,Nome_Município
42,Santa Catarina,3,Serrana,9,Curitibanos,51,4200051,Abdon Batista
42,Santa Catarina,1,Oeste Catarinense,3,Xanxerê,101,4200101,Abelardo Luz
42,Santa Catarina,4,Vale do Itajaí,14,Ituporanga,200,4200200,Agrolândia
42,Santa Catarina,4,Vale do Itajaí,11,Rio do Sul,309,4200309,Agronômica
42,Santa Catarina,1,Oeste Catarinense,4,Joaçaba,408,4200408,Água Doce
42,Santa Catarina,1,Oeste Catarinense,2,Chapecó,507,4200507,Águas de Chapecó
42,Santa Catarina,1,Oeste Catarinense,2,Chapecó,556,4200556,Águas Frias
42,Santa Catarina,5,Grande Florianópolis,17,Tabuleiro,606,4200606,Águas Mornas
42,Santa Catarina,5,Grande Florianópolis,17,Tabuleiro,705,4200705,Alfredo Wagner
42,Santa Catarina,1,Oeste Catarinense,5,Concórdia,754,4200754,Alto Bela Vista
42,Santa Catarina,1,Oeste Catarinense,1,São Miguel do Oeste,804,4200804,Anchieta
42,Santa Catarina,5,Grande Florianópolis,15,Tijucas,903,4200903,Angelina
42,Santa Catarina,3,Serrana,10,Campos de Lages,1000,4201000,Anita Garibaldi
42,Santa Catarina,5,Grande Florianópolis,17,Tabuleiro,1109,4201109,Anitápolis
42,Santa Catarina,5,Grande Florianópolis,16,Florianópolis,1208,4201208,Antônio Carlos
42,Santa Catarina,4,Vale do Itajaí,12,Blumenau,1257,4201257,Apiúna
42,Santa Catarina,1,Oeste Catarinense,5,Concórdia,1273,4201273,Arabutã
42,Santa Catarina,2,Norte Catarinense,8,Joinville,1307,4201307,Araquari
42,Santa Catarina,6,Sul Catarinense,20,Araranguá,1406,4201406,Araranguá
42,Santa Catarina,6,Sul Catarinense,18,Tubarão,1505,4201505,Armazém
42,Santa Catarina,1,Oeste Catarinense,4,Joaçaba,1604,4201604,Arroio Trinta
42,Santa Catarina,1,Oeste Catarinense,5,Concórdia,1653,4201653,Arvoredo
42,Santa Catarina,4,Vale do Itajaí,12,Blumenau,1703,4201703,Ascurra
42,Santa Catarina,4,Vale do Itajaí,14,Ituporanga,1802,4201802,Atalanta
42,Santa Catarina,4,Vale do Itajaí,11,Rio do Sul,1901,4201901,Aurora
42,Santa Catarina,6,Sul Catarinense,20,Araranguá,1950,4201950,Balneário Arroio do Silva
42,Santa Catarina,4,Vale do Itajaí,13,Itajaí,2008,4202008,Balneário Camboriú
42,Santa Catarina,2,Norte Catarinense,8,Joinville,2057,4202057,Balneário Barra do Sul
42,Santa Catarina,6,Sul Catarinense,20,Araranguá,2073,4202073,Balneário Gaivota
42,Santa Catarina,1,Oeste Catarinense,1,São Miguel do Oeste,2081,4202081,Bandeirante
42,Santa Catarina,1,Oeste Catarinense,1,São Miguel do Oeste,2099,4202099,Barra Bonita
42,Santa Catarina,4,Vale do Itajaí,13,Itajaí,2107,4202107,Barra Velha
42,Santa Catarina,2,Norte Catarinense,6,Canoinhas,2131,4202131,Bela Vista do Toldo
42,Santa Catarina,1,Oeste Catarinense,1,São Miguel do Oeste,2156,4202156,Belmonte
42,Santa Catarina,4,Vale do Itajaí,12,Blumenau,2206,4202206,Benedito Novo
42,Santa Catarina,5,Grande Florianópolis,16,Florianópolis,2305,4202305,Biguaçu
42,Santa Catarina,4,Vale do Itajaí,12,Blumenau,2404,4202404,Blumenau
42,Santa Catarina,3,Serrana,10,Campos de Lages,2438,4202438,Bocaina do Sul
42,Santa Catarina,4,Vale do Itajaí,13,Itajaí,2453,4202453,Bombinhas
42,Santa Catarina,3,Serrana,10,Campos de Lages,2503,4202503,Bom Jardim da Serra
42,Santa Catarina,1,Oeste Catarinense,3,Xanxerê,2537,4202537,Bom Jesus
42,Santa Catarina,1,Oeste Catarinense,2,Chapecó,2578,4202578,Bom Jesus do Oeste
42,Santa Catarina,3,Serrana,10,Campos de Lages,2602,4202602,Bom Retiro
42,Santa Catarina,4,Vale do Itajaí,12,Blumenau,2701,4202701,Botuverá
42,Santa Catarina,6,Sul Catarinense,18,Tubarão,2800,4202800,Braço do Norte
42,Santa Catarina,4,Vale do Itajaí,11,Rio do Sul,2859,4202859,Braço do Trombudo
42,Santa Catarina,3,Serrana,9,Curitibanos,2875,4202875,Brunópolis
42,Santa Catarina,4,Vale do Itajaí,12,Blumenau,2909,4202909,Brusque
42,Santa Catarina,1,Oeste Catarinense,4,Joaçaba,3006,4203006,Caçador
42,Santa Catarina,1,Oeste Catarinense,2,Chapecó,3105,4203105,Caibi
42,Santa Catarina,1,Oeste Catarinense,4,Joaçaba,3154,4203154,Calmon
42,Santa Catarina,4,Vale do Itajaí,13,Itajaí,3204,4203204,Camboriú
42,Santa Catarina,3,Serrana,10,Campos de Lages,3253,4203253,Capão Alto
42,Santa Catarina,2,Norte Catarinense,7,São Bento do Sul,3303,4203303,Campo Alegre
42,Santa Catarina,3,Serrana,10,Campos de Lages,3402,4203402,Campo Belo do Sul
42,Santa Catarina,1,Oeste Catarinense,2,Chapecó,3501,4203501,Campo Erê
42,Santa Catarina,3,Serrana,9,Curitibanos,3600,4203600,Campos Novos
42,Santa Catarina,5,Grande Florianópolis,15,Tijucas,3709,4203709,Canelinha
42,Santa Catarina,2,Norte Catarinense,6,Canoinhas,3808,4203808,Canoinhas
42,Santa Catarina,1,Oeste Catarinense,4,Joaçaba,3907,4203907,Capinzal
42,Santa Catarina,6,Sul Catarinense,18,Tubarão,3956,4203956,Capivari de Baixo
42,Santa Catarina,1,Oeste Catarinense,4,Joaçaba,4004,4204004,Catanduvas
42,Santa Catarina,1,Oeste Catarinense,2,Chapecó,4103,4204103,Caxambu do Sul
42,Santa Catarina,3,Serrana,10,Campos de Lages,4152,4204152,Celso Ramos
42,Santa Catarina,3,Serrana,10,Campos de Lages,4178,4204178,Cerro Negro
