UF,Nome_UF,Codigo_Municipio,Nome_Municipio,Pop_estimada
RO,Rondônia,1100015,Alta Floresta D'Oeste,25652
RO,Rondônia,1100379,Alto Alegre dos Parecis,13884
RO,Rondônia,1100403,Alto Paraíso,19841
RO,Rondônia,1100346,Alvorada D'Oeste,17228
RO,Rondônia,1100023,Ariquemes,102860
RO,Rondônia,1100452,Buritis,37207
RO,Rondônia,1100031,Cabixi,6424
RO,Rondônia,1100601,Cacaulândia,6318
RO,Rondônia,1100049,Cacoal,86556
RO,Rondônia,1100700,Campo Novo de Rondônia,14081
RO,Rondônia,1100809,Candeias do Jamari,23573
RO,Rondônia,1100908,Castanheiras,3653
RO,Rondônia,1100056,Cerejeiras,18013
RO,Rondônia,1100924,Chupinguaia,9887
RO,Rondônia,1100064,Colorado do Oeste,19001
RO,Rondônia,1100072,Corumbiara,8938
RO,Rondônia,1100080,Costa Marques,16258
RO,Rondônia,1100940,Cujubim,20204
RO,Rondônia,1100098,Espigão D'Oeste,32047
RO,Rondônia,1101005,Governador Jorge Teixeira,10327
RO,Rondônia,1100106,Guajará-Mirim,46203
RO,Rondônia,1101104,Itapuã do Oeste,9831
RO,Rondônia,1100114,Jaru,55669
RO,Rondônia,1100122,Ji-Paraná,129242
RO,Rondônia,1100130,Machadinho D'Oeste,36412
RO,Rondônia,1101203,Ministro Andreazza,10860
RO,Rondônia,1101302,Mirante da Serra,12414
RO,Rondônia,1101401,Monte Negro,15710
RO,Rondônia,1100148,Nova Brasilândia D'Oeste,21511
RO,Rondônia,1100338,Nova Mamoré,26925
RO,Rondônia,1101435,Nova União,7853
RO,Rondônia,1100502,Novo Horizonte do Oeste,10393
RO,Rondônia,1100155,Ouro Preto do Oeste,40010
RO,Rondônia,1101450,Parecis,5589
RO,Rondônia,1100189,Pimenta Bueno,37230
RO,Rondônia,1101468,Pimenteiras do Oeste,2432
RO,Rondônia,1100205,Porto Velho,494013
RO,Rondônia,1100254,Presidente Médici,22783
RO,Rondônia,1101476,Primavera de Rondônia,3548
RO,Rondônia,1100262,Rio Crespo,3709
RO,Rondônia,1100288,Rolim de Moura,55807
RO,Rondônia,1100296,Santa Luzia D'Oeste,8706
RO,Rondônia,1101484,São Felipe D'Oeste,6160
RO,Rondônia,1101492,São Francisco do Guaporé,18640
RO,Rondônia,1100320,São Miguel do Guaporé,23803
RO,Rondônia,1101500,Seringueiras,12543
RO,Rondônia,1101559,Teixeirópolis,5041
RO,Rondônia,1101609,Theobroma,11345
RO,Rondônia,1101708,Urupá,13391
RO,Rondônia,1101757,Vale do Anari,10682
RO,Rondônia,1101807,Vale do Paraíso,8327
RO,Rondônia,1100304,Vilhena,89797
AC,Acre,1200013,Acrelândia,13613
AC,Acre,1200054,Assis Brasil,6610
AC,Acre,1200104,Brasiléia,23378
AC,Acre,1200138,Bujari,9173
AC,Acre,1200179,Capixaba,10170
AC,Acre,1200203,Cruzeiro do Sul,80953
