País,WMO,ICAO,Estação,Latitude,Longitude,Altitude
BZ,01,-,REBIO (LBA),-10.14,-61.91,130
BZ,02,-,ROLIM DE MOURA (LBA),-11.7,-61.78,250
BZ,82014,-,NORMANDIA -RR,3.3,-60.1,100
BZ,82017,SBOI,OIAPOQUE,3.85,-51.82,39
BZ,82022,SBBV,BOA VISTA (AEROPORTO),2.85,-60.7,140
BZ,82024,-,BOA VISTA,2.82,-60.65,90
BZ,82026,SBTS,TIRIOS,-2.22,-55.93,325
BZ,82029,-,AMAPA,2.05,-50.8,0
BZ,82030,SBAM,AMAPA,2.07,-50.85,10
BZ,82042,-,CARACARAI,1.83,-61.13,95
BZ,82067,-,IAUARETE,0.62,-69.2,120
BZ,82068,SBYA,IAUARETE (AEROPORTO),0.62,-69.2,105
BZ,82091,SBMD,MONTE DOURADO,-0.87,-52.6,206
BZ,82092,-,SERRA DO NAVIO,0.9,-52.02,163
BZ,82093,-,CUPIXI,0.62,-51.78,702
BZ,82094,-,PONTA DO CEU,0.77,-50.1,4
BZ,82095,-,PORTO PLATON,0.7,-51.42,84
BZ,82096,-,CANIVETE,0.52,-50.42,3
BZ,82098,SBMQ,MACAPA,0.05,-51.07,15
BZ,82099,-,MACAPA (AEROPORTO),0.05,-51.07,17
BZ,82100,-,PARI-CACHOEIRA,-0.17,-69.97,115
BZ,82103,-,TARACUA,0.07,-68.23,105
BZ,82105,-,RIO ICANA,1.03,-67.53,90
BZ,82106,-,SAO GABRIEL DA CACHOEIRA,-0.15,-66.98,90
BZ,82107,SBUA,SAO GABRIEL DA CACHOEIRA (AERO),-0.15,-66.98,79
BZ,82108,-,TAPURUCUARA,-0.42,-65.03,45
BZ,82111,-,EDUARDO GOMES IN,-3.02,-60.03,
BZ,82113,SWBC,BARCELOS,-0.97,-62.92,40
BZ,82141,-,SOURE,-0.72,-48.55,11
BZ,82143,-,SALINOPOLIS,-0.62,-47.38,14
BZ,82145,-,BRAGANCA (TRACUATEUA),-1.08,-46.93,36
BZ,82167,-,MOURA,-3.45,-61.63,35
BZ,82178,-,OBIDOS,-1.92,-55.52,37
BZ,82181,-,MONTE ALEGRE,-2,-54.08,146
BZ,82184,SBMZ,PORTO DE MOZ,-1.73,-52.25,16
BZ,82188,-,BREVES,-1.68,-50.48,15
BZ,82191,-,BELEM,-1.43,-48.43,10
BZ,82193,SBBE,BELEM (AEROPORTO),-1.37,-48.47,16
BZ,82198,-,TURIACU,-1.72,-45.4,44
BZ,82200,-,IPIRANGA,-2.98,-69.58,0
BZ,82212,-,FONTE BOA,-2.53,-66.17,56
BZ,82240,-,PARINTINS,-2.63,-56.73,29
BZ,82244,SBSN,SANTAREM (AEROPORTO),-2.42,-54.78,72
BZ,82246,-,BELTERRA,-2.63,-54.95,176
BZ,82263,-,CAMETA,-2.25,-49.5,24
BZ,82276,SNCW,ALCANTARA (CLA),-2.37,-44.4,45
BZ,82277,-,FAROL SANTANA,-2.27,-43.62,8
BZ,82279,-,SAO BENTO,-2.68,-44.72,10
BZ,82280,SBSL,SBSL (82280) IN SAO LUIZ AEROPORTO,-2.6,-44.22,
BZ,82281,-,SAO LUIS (AEROPORTO),-2.6,-44.22,53
BZ,82287,-,PARNAIBA,-3.08,-41.78,22
BZ,82288,SBPB,PARNAIBA (AEROPORTO),-2.92,-41.75,5
BZ,82294,-,ACARAU,-2.88,-40.13,16
BZ,82296,-,LUZILANDIA,-3.42,-42.28,49
BZ,82298,-,ESPERANTINA,-3.9,-42.25,87
BZ,82303,-,SAO PAULO DE OLIVENCA,-3.47,-68.95,94
BZ,82317,SBTF,TEFE,-3.37,-64.72,47
BZ,82318,-,TEFE (AEROPORTO),-2.37,-64.72,56
BZ,82326,-,CODAJAS,-3.83,-62.08,49
BZ,82331,-,MANAUS,-3.13,-60.02,72
BZ,82332,SBMN,MANAUS (AEROPORTO PONTA PELADA),-3.13,-59.97,84
BZ,82333,SBEG,MANAUS (AEROPORTO EDUARDO GOMES),-3.02,-60.03,85
BZ,82335,SBIC,ITACOATIARA (AEROPORTO),-3.12,-58.47,43
BZ,82336,-,ITACOATIARA,-3.13,-58.43,40
BZ,82353,SBHT,ALTAMIRA,-3.25,-52.27,74
BZ,82354,-,ALTAMIRA (AEROPORTO),-3.25,-52.25,112
BZ,82360,-,TUCURUI (AEROPORTO),-3.77,-49.72,253
BZ,82361,SBTU,TUCURUI,-3.78,-49.72,40
BZ,82376,-,ZE DOCA,-3.27,-45.65,46
BZ,82382,-,CHAPADINHA,-3.73,-43.35,103
BZ,82392,-,SOBRAL,-3.7,-40.35,83
BZ,82396,-,FORTALEZA,-3.73,-38.55,20
BZ,82397,-,FORTALEZA,-3.77,-38.6,26
BZ,82398,SBFZ,FORTALEZA (AEROPORTO),-3.77,-38.52,25
BZ,82400,SBFN,FERNANDO DE NORONHA,-3.85,-32.42,56
BZ,82410,SBBC,BENJAMIN CONSTANT,-4.37,-70.02,65
BZ,82411,SBTT,TABATINGA (AEROPORTO),-4.25,-69.93,81
BZ,82418,SBUI,CARAUARI,-4.95,-66.9,66
BZ,82425,-,COARI,-4.08,-63.13,46
BZ,82444,SBIH,ITAITUBA (AEROPORTO),-4.25,-56,33
BZ,82445,-,ITAITUBA,-4.27,-55.98,45
BZ,82460,-,BACABAL,-4.22,-44.77,25
BZ,82474,-,CALDEIRAO,-4.28,-41.8,160
BZ,82476,-,CAXIAS,-4.87,-43.35,103
BZ,82480,-,PIRIPIRI,-4.27,-41.78,161
BZ,82487,-,GUARAMIRANGA,-4.28,-39,870
BZ,82491,-,ARACATI,-4.57,-37.77,19
BZ,82493,-,JAGUARUANA (A339),-4.78,-37.77,12
BZ,82532,-,MANICORE (AEROPORTO),-5.82,-61.28,53
BZ,82533,SBMY,MANICORE,-5.82,-61.28,50
BZ,82562,SBMA,MARABA,-5.37,-49.13,95
BZ,82563,-,MARABA (AEROPORTO),-5.37,-49.13,109
BZ,82564,SBIZ,IMPERATRIZ,-5.52,-47.45,123
BZ,82565,-,IMPERATRIZ (AEROPORTO),-5.53,-47.45,131
BZ,82566,-,Imperatriz,-5.53,-47.5,
BZ,82567,SBCJ,CARAJAS (AEROPORTO),-6.12,-50,621
BZ,82568,-,GRAJAU,-5.82,-46.47,163
BZ,82571,-,BARRA DO CORDA,-5.5,-45.23,153
BZ,82578,-,TERESINA,-5.08,-42.82,74
BZ,82579,SBTE,TERESINA (AER. PETRONIO PORTELA),-5.03,-42.82,69
BZ,82583,-,CRATEUS,-5.17,-40.67,299
BZ,82586,-,QUIXERAMOBIM,-5.2,-39.3,212
BZ,82588,-,MORADA NOVA,-5.12,-38.37,44
BZ,82590,-,APODI,-5.65,-37.8,65
BZ,82591,SBMS,MOSSORO,-5.2,-37.37,23
BZ,82592,-,MOSSORO (AEROPORTO),-5.18,-37.35,23
BZ,82594,-,MACAU,-5.12,-36.77,6
BZ,82595,-,CALCANHAR,-5.17,-35.48,14
BZ,82596,-,CEARA-MIRIM,-5.65,-35.65,61
BZ,82598,-,NATAL,-5.77,-35.2,45
BZ,82599,SBNT,NATAL (AEROPORTO),-5.92,-35.25,52
BZ,82605,-,ALTO LONGA,-5.2,-42.25,150
BZ,82610,SBER,EIRUNEPE,-6.67,-69.87,104
BZ,82640,SBEK,JACAREACANGA,-6.23,-57.78,98
BZ,82659,-,ARAGUAINA,-7.2,-48.2,228
BZ,82668,-,SAO FELIX DO XINGU,-6.63,-51.98,150
BZ,82669,-,SAO FELIX DO PIAUI,-5.95,-42.12,184
BZ,82676,-,COLINAS,-6.03,-44.23,180
BZ,82678,SBFO,FLORIANO,-6.77,-43.02,127
BZ,82683,-,TAUA,-6,-40.42,340
BZ,82684,-,MORRO DOS CAVALOS,-7.85,-41.9,242
BZ,82686,-,IGUATU,-6.37,-39.3,217
BZ,82689,-,SAO GONCALO,-6.75,-38.22,217
BZ,82690,-,SERIDO (CAICO),-6.47,-37.08,170
BZ,82691,-,FLORIANA,-6.12,-36.82,324
BZ,82693,-,CRUZETA,-6.43,-36.58,226
BZ,82695,-,CAMARATUBA,-6.55,-35.13,136
